State,Gender,Age,Smoke,SmokingFriends,WorkingParents,SeenSmokerInSchool,SeenSmokerInPublicPlace,SeenSmokerInEnclosedPlace,SeenSmokerInHome,SmokingFather,SmokingMother
Portugal,Female,13 years old,False,1,3,2,2,3,1,False,False
Portugal,Female,13 years old,False,2,1,1,3,1,2,False,False
Portugal,Female,13 years old,False,1,3,2,1,2,3,True,True
Portugal,Female,13 years old,False,2,1,2,2,1,2,True,False
Portugal,Female,14 years old,False,1,1,2,2,1,2,True,True
Portugal,Male,11 years old or younger,False,1,3,2,1,3,5,False,True
Portugal,Male,12 years old,False,1,5,2,1,1,1,False,False
Portugal,Male,12 years old,False,2,2,1,1,1,1,False,True
Portugal,Male,12 years old,False,1,3,1,3,1,1,False,False
Portugal,Male,12 years old,False,1,4,2,1,2,5,True,False
Portugal,Male,12 years old,False,1,1,1,5,5,5,True,False
Portugal,Male,13 years old,False,1,3,1,4,4,1,True,True
Portugal,Male,13 years old,False,1,3,2,1,1,1,False,False
Portugal,Male,13 years old,False,2,3,2,2,5,2,True,False
Portugal,Male,12 years old,False,1,3,2,1,1,1,False,False
Portugal,Male,13 years old,False,1,2,1,1,1,1,False,False
Portugal,Male,13 years old,False,1,3,1,1,3,1,False,False
Portugal,Male,13 years old,False,1,1,1,1,1,1,True,False
Portugal,Male,13 years old,False,1,1,1,2,2,5,False,False
Portugal,Male,13 years old,False,1,3,1,5,5,5,True,True
Portugal,Male,13 years old,False,1,3,2,2,2,2,False,True
Portugal,Male,13 years old,False,1,3,1,2,1,1,False,False
Portugal,Male,14 years old,False,2,1,1,3,3,4,True,True
Portugal,Female,13 years old,False,1,3,1,3,5,1,False,False
Portugal,Female,13 years old,False,1,3,2,2,2,5,True,True
Portugal,Female,13 years old,False,1,3,2,2,2,2,True,False
Portugal,Female,13 years old,False,1,3,2,2,2,1,False,False
Portugal,Female,13 years old,False,1,3,2,1,1,1,False,True
Portugal,Female,14 years old,False,3,1,2,1,1,1,False,False
Portugal,Female,14 years old,False,2,3,2,2,2,2,True,True
Portugal,Female,14 years old,False,4,3,2,2,3,1,True,False
Portugal,Female,14 years old,False,1,1,1,1,1,1,False,False
Portugal,Female,12 years old,False,1,3,2,3,2,1,False,False
Portugal,Female,12 years old,False,1,3,1,5,5,5,True,False
Portugal,Female,13 years old,False,2,3,2,4,4,2,True,True
Portugal,Female,13 years old,False,2,3,1,1,2,1,True,False
Portugal,Female,14 years old,True,4,2,1,1,2,3,True,False
Portugal,Female,14 years old,False,1,3,1,1,1,1,False,False
Portugal,Female,14 years old,True,2,3,2,5,5,1,False,False
